value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
1016.0,number,ai_patents_filed,financial_services,"1016 j.giq.2018.10.001. Ansoff, H. Igor, Rick Ansoff, Roxanne Helm-Stevens, Daniel Kipley, and A. O. Lewis. 2019. Implanting",22,13,0.76,2024,pattern_matching,[],Ansoff,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703235,6380
2018.1,number,ai_patents_filed,financial_services,"2018.10.001. Ansoff, H. Igor, Rick Ansoff, Roxanne Helm-Stevens, Daniel Kipley, and A. O. Lewis. 2019. Implanting",22,13,0.76,2024,pattern_matching,[],Ansoff,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703236,6381
1.0,number,ai_patents_filed,financial_services,"001. Ansoff, H. Igor, Rick Ansoff, Roxanne Helm-Stevens, Daniel Kipley, and A. O. Lewis. 2019. Implanting",22,13,0.76,2024,pattern_matching,[],Ansoff,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703236,6382
36.0,number,ai_patents_filed,financial_services,"1016 j.giq.2018.10.001. Ansoff, H. Igor, Rick Ansoff, Roxanne Helm-Stevens, Daniel Kipley, and A. O. Lewis. 2019. Implanting",22,13,0.76,2024,pattern_matching,[],Ansoff,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703231,6375
1.5,percentage,productivity_improvement,financial_services,productivity growth over the next decade. The McKinsey Global Institute forecasts that generative AI could lead to a 1.5-3.,0,9,0.76,2024,pattern_matching,[],Global Institute,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670837,11200
38.0,number,ai_implementation_count,financial_services,"38The concept of  explainability  is particularly important in scenarios where AI could be used in sensitive or critical applications, such as service d",22,31,0.76,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763437,12497
2020.0,number,job_creation,financial_services,"255 And, after a decade of sluggish recovery, in early 2020 (on the eve of the COVID-19 pandemic), the share of prime- working-age Americans with a job reached its highest level since 2001.",56,3,0.76,2024,pattern_matching,[],Americans,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896590,2515
19.0,number,job_creation,financial_services,"255 And, after a decade of sluggish recovery, in early 2020 (on the eve of the COVID-19 pandemic), the share of prime- working-age Americans with a job reached its highest level since 2001.",56,3,0.76,2024,pattern_matching,[],Americans,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896591,2516
255.0,number,job_creation,financial_services,"255 And, after a decade of sluggish recovery, in early 2020 (on the eve of the COVID-19 pandemic), the share of prime- working-age Americans with a job r",56,3,0.76,2024,pattern_matching,[],Americans,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896589,2514
2001.256,number,job_creation,financial_services,"h recovery, in early 2020 (on the eve of the COVID-19 pandemic), the share of prime- working-age Americans with a job reached its highest level since 2001.",56,3,0.76,2024,pattern_matching,[],Americans,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896592,2517
4.1,number,ai_patents_filed,financial_services,Table 4.1 lists the participating institutions and sets out the mechanisms they use to promote AI adoption.,102,5,0.76,2024,pattern_matching,[],Table,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834848,5331
1.0,number,ai_patents_filed,financial_services,1 lists the participating institutions and sets out the mechanisms they use to promote AI adoption.,102,5,0.76,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834849,5332
94.0,number,workforce_augmentation,financial_services,94 A second idea gaining support is that higher-ability individuals are characterized by more efficient patterns of brain connectivity. Both of these id,26,3,0.76,2024,pattern_matching,[],Both,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896095,1861
5.0,number,ai_patents_filed,financial_services,"We serve more than 5,000 clients across the world with 75 business solutions. ISIN code FR0000073298, Reuters ISOS.PA, Bloomberg IPS:FP https:  www.ipsos.",64,4,0.76,2024,pattern_matching,[],Reuters,AI strategy.pdf,2025-07-24T17:20:01.210142,1192
0.0,number,ai_patents_filed,financial_services,"We serve more than 5,000 clients across the world with 75 business solutions. ISIN code FR0000073298, Reuters ISOS.PA, Bloomberg IPS:FP https:  www.ipsos.",64,4,0.76,2024,pattern_matching,[],Reuters,AI strategy.pdf,2025-07-24T17:20:01.210142,1193
75.0,number,ai_patents_filed,financial_services,"We serve more than 5,000 clients across the world with 75 business solutions. ISIN code FR0000073298, Reuters ISOS.PA, Bloomberg IPS:FP https:  www.ipsos.",64,4,0.76,2024,pattern_matching,[],Reuters,AI strategy.pdf,2025-07-24T17:20:01.210143,1194
2016.0,number,ai_implementation_count,financial_services,"impact security : The 2016 report noted that cities had already begun to deploy AI technologies for public safety and security, and that applications aimed at improving the sec",80,10,0.76,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896867,2890
26.0,number,workforce_augmentation,financial_services,"26 Specifically, the Brookings analysis suggests 30% of all workers could see at least 50% of their occupation s tasks disrupted by generative AI in the",40,4,0.76,2024,pattern_matching,[],Specifically,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576913,10649
30.0,number,workforce_augmentation,financial_services,"26 Specifically, the Brookings analysis suggests 30% of all workers could see at least 50% of their occupation s tasks disrupted by generative AI in the coming years, with higher  exposure  levels for",40,4,0.76,2024,pattern_matching,[],Specifically,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576914,10651
27.0,number,job_creation,financial_services,"27 While some of those impacts will enhance worker well-being and create new jobs, others could bring about sudden task shifts, depressed work demand, o",40,4,0.76,2024,pattern_matching,[],While,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576916,10654
9.0,number,job_creation,financial_services,"9 See, for example, Mark Muro and Julian Jacobs,  New data shows that without intervention, generative AI jobs will continue to cluster in the same big",64,11,0.76,2024,pattern_matching,[],Mark Muro,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.577052,10856
165.0,number,workforce_augmentation,financial_services,"165 Recently, a significant multilateral initiative between the US and the EU has emerged to support more effective coordination",39,4,0.76,2024,pattern_matching,[],Recently,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896318,2155
1.5,percentage,productivity_improvement,financial_services,"sing work their way into businesses and society, they could drive a 7% (or almost $7 trillion) increase in global GDP and lift productivity growth by 1.",0,4,0.76,2024,pattern_matching,[],,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661799,8072
38.0,number,ai_implementation_count,financial_services,system to monitor investment styles of contracting fund managers and identify risk from unexpected change in market situations known as regime switch38.,16,3,0.7433333333333333,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895928,1642
2001.0,number,ai_implementation_count,financial_services,"inding that while the leading metro areas like the San Francisco Bay Area, southern California, and the Northeast Corridor still lead, the data since 2001 show that AI technologies are diffusing widely across US states and counties.",52,10,0.682,2024,pattern_matching,['Missing required context keywords'],San Francisco Bay Area,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834448,4785
2005.0,number,ai_implementation_count,financial_services,"256 In Western Europe, that share hit its highest level since at least 2005. The layperson narrative of the interplay between artificial intelligence technology and the aggregate economy had run ahead, and to some extent beco",56,3,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],In Western Europe,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896593,2519
44.0,percentage,ai_budget_percentage,financial_services,"While 28% of organizations are in the  scaling  and  realizing  stages, there s considerable optimism in most organizations, with 44% actively laying the groundwork in the  exploring  and  planning  stages.",43,2,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],While,AI strategy.pdf,2025-07-24T17:20:01.210081,1105
44.0,count,ai_implementation_count,financial_services,"While 28% of organizations are in the  scaling  and  realizing  stages, there s considerable optimism in most organizations, with 44% actively laying the groundwork in the  exploring  and  planning  stages.",43,2,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],While,AI strategy.pdf,2025-07-24T17:20:01.210081,1106
7.0,number,ai_implementation_count,financial_services,com static 5ef0b24bc96ec4739e7275d3 t 5fb58df18fbd7f2b94b5b5cd 1605733874729 SRI 1 - Initiatives in AI Governance.pdf 147 https:  www.nitrd.gov nitrdgroups images c c1 American-AI-Initiative-One-Year-A,37,5,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Initiatives,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896279,2102
3.0,number,ai_implementation_count,financial_services,"ed on the aggregated LIME values, the features that have the most significant impact on the Random Forest model s predictions are presented in Figure 3, and the features for the XGBoost model are presented in Figure 4.",17,4,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Random Forest,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.816071,3878
2.0,number,ai_implementation_count,financial_services,"To obtain insights into the mechanisms behind the primary findings, we extend the baseline 2-good CES model into a nested CES model, under which core work and project management are instead modeled as composites of more disaggregated goods.",71,22,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.828409,7378
2019.0,count,ai_implementation_count,financial_services,"2021  Wirtz and Müller 2019  Wirtz, Weyerer, and Geyer 2019). Challenges to adopting AI in public organizations stem from factors more prevalent in the public context: (i) a lack of technical staff to introduc",3,4,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Wirtz,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703098,6209
2019.0,number,ai_implementation_count,financial_services,"2021  Margetts and Dorobantu 2019  Hitz-Gamper, Neumann, and Stürmer 2019), such as better decision-making and forecasting, improved communication between govern  ment and citizens, personalized public services, reduced adm",1,7,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Margetts,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703072,6177
3.0,number,ai_implementation_count,financial_services,"eu legal-content EN  TXT  qid 1623335154975 uri CELEX%3A52021PC0206 146 Lawrence Zhang,  Initiatives in AI Governance,  Innovating AI Governance: Shaping the Agenda for a Responsible Future December 2020,",37,5,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Lawrence Zhang,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896270,2091
206.0,number,ai_implementation_count,financial_services,"eu legal-content EN  TXT  qid 1623335154975 uri CELEX%3A52021PC0206 146 Lawrence Zhang,  Initiatives in AI Governance,  Innovating AI Governance: Shaping the Agenda for a Responsible Future December 2020, https:  stat",37,5,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Lawrence Zhang,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896272,2093
146.0,number,ai_implementation_count,financial_services,"eu legal-content EN  TXT  qid 1623335154975 uri CELEX%3A52021PC0206 146 Lawrence Zhang,  Initiatives in AI Governance,  Innovating AI Governance: Shaping the Agenda for a Responsible Future December 2020, https:  static1.",37,5,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Lawrence Zhang,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896273,2094
4.0,number,ai_implementation_count,financial_services,"s allows us to further decompose the composite goods into their components where u(c1, c2) and u(m1, m2) are also CES func- tions similar to equation 4 but with their respective within-nest elasticities of substitution σc and σm that correspond to relative substitution between disaggregated goods c1,",71,22,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.828410,7379
33.0,number,ai_implementation_count,financial_services,". AI-driven approaches like PredPol, software originally developed by the Los Angeles Police Department and UCLA that purports to help protect one in 33 US citizens,238 predict when, where, and how crime will occur.",52,6,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Los Angeles Police Department,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896533,2437
220.0,number,ai_implementation_count,financial_services,"These uses go beyond major platforms and electronic marketplaces  kidney exchanges,220 for example, save many lives, combinatorial markets allow goods to be allocated fairly, and AI-based algorithms help select representative population",50,1,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896499,2397
94.0,number,ai_implementation_count,financial_services,com static 5ef0b24bc96ec4739e7275d3 t 5fb58df18fbd7f2b94b5b5cd 1605733874729 SRI 1 - Initiatives in AI Governance.pdf 147 https:  www.nitrd.gov nitrdgroups images c c1 American-AI-Initiative-One-Year-Annual,37,5,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Initiatives,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896279,2103
5.0,number,ai_implementation_count,financial_services,com static 5ef0b24bc96ec4739e7275d3 t 5fb58df18fbd7f2b94b5b5cd 1605733874729 SRI 1 - Initiatives in AI Governance.pdf 147 https:  www.nitrd.gov nitrdgroups images c c1 American-AI-Initiative-One-Year-Annual-R,37,5,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Initiatives,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896280,2104
30.0,percentage,ai_budget_percentage,financial_services,"26 Specifically, the Brookings analysis suggests 30% of all workers could see at least 50% of their occupation s tasks disrupted by generative AI in the coming years, with higher  exposure  levels for h",40,4,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Specifically,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576913,10650
50.0,percentage,ai_budget_percentage,financial_services,"26 Specifically, the Brookings analysis suggests 30% of all workers could see at least 50% of their occupation s tasks disrupted by generative AI in the coming years, with higher  exposure  levels for higher-skill computer and office activi",40,4,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Specifically,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576915,10652
2021.0,number,ai_implementation_count,financial_services,"Whereas the first study report focused explicitly on the impact of AI in North American cities, we sought for the 2021 study to explore in greater depth the impact that AI is having on people and societies worldwide.",1,2,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Whereas,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895800,1483
100.0,number,ai_implementation_count,financial_services,"Autonomous transportation will soon be commonplace : Rodney Brooks, the robotics pioneer and 2016 AI100 panelist who helped bring robotic vacuum cleaning to the home, predicted that AI-driven taxi services will appear in 50 of the 100 largest cities no",78,9,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Autonomous,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896847,2863
100.0,number,job_creation,financial_services,"Motivated by the notion that it takes at least two points to define a line, as noted by AI100 founder Eric Horvitz, the Study Panel charge suggested a set of  standing questions  for the Study Panel to consider that could potentially then be a",1,2,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Motivated,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895802,1486
1.0,number,job_creation,financial_services,"t of  standing questions  for the Study Panel to consider that could potentially then be answered by future Study Panels as well (as represented by SQ1- SQ12 of this report) and included a call to reflect on the first report, indicating what has changed and what remains the same (as represented here)",1,2,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Study Panel,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895803,1487
12.0,number,job_creation,financial_services,"standing questions  for the Study Panel to consider that could potentially then be answered by future Study Panels as well (as represented by SQ1- SQ12 of this report) and included a call to reflect on the first report, indicating what has changed and what remains the same (as represented here).",1,2,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Study Panel,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895804,1488
0.0,number,ai_implementation_count,financial_services,"In particular, consider a hypothetical experiment that lasts just one month: at t   0, developers are randomized into treatment and control groups, where control is not allowed access to Copilot until t   4.",9,5,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Copilot,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779264,594
102.0,number,ai_implementation_count,financial_services,"A third subfield of AI that has generated substantial recent interest is probabilistic program induction,102 in which learning a concept or skill is accomplished by using a model based on probabilities to generate a computer program that captures the concept",29,1,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896140,1921
0.2687,number,ai_implementation_count,financial_services,"The model showed a good fit with a pseudo- R-squared value of 0.2687 and a log-likelihood of  99.453. Notably, the interaction term between AI Tools Usage and AI Integration Level demonstrated a significant positive as",13,1,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Notably,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.816012,3809
1.0,number,ai_implementation_count,financial_services,"e work activities of coding (shares) and project management (shares) using the optimal bandwidth derived from the mean squared error (MSE) in columns 1 and 3 and the coverage error rate (CER) estimator in columns 3 and 4 (Calonico, Cattaneo, and Farrell, 2020).",64,8,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Calonico,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.828366,7320
3.0,number,ai_implementation_count,financial_services,"activities of coding (shares) and project management (shares) using the optimal bandwidth derived from the mean squared error (MSE) in columns 1 and 3 and the coverage error rate (CER) estimator in columns 3 and 4 (Calonico, Cattaneo, and Farrell, 2020).",64,8,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Calonico,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.828367,7321
1.0,number,ai_implementation_count,financial_services,"omply with the requirements of laws and admin- istrative regulations, respect social mores, ethics, and morality, and obey the following provisions: (1) Uphold the Core Socialist Values  content that is prohibited by laws and administrative regulations such as that inciting subversion of national sov",66,6,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Uphold,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763704,12856
32.0,number,ai_implementation_count,financial_services,"32 For example, Child Health Improvement. 33 https:  developer.squareup.com blog a-peek-into-machine-learning-at-square  34 https:  fintechnews.hk 12261",16,5,0.624,2024,pattern_matching,['Missing required context keywords'],Child Health Improvement,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895930,1645
31.0,number,ai_implementation_count,financial_services,"31 For example, Nuance Dragon, 3M M Modal, Kara, NoteSwift. 32 For example, Child Health Improvement. 33 https:  developer.squareup.com blog a-peek-into",16,5,0.624,2024,pattern_matching,['Missing required context keywords'],Nuance Dragon,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895929,1644
34.0,number,ai_implementation_count,financial_services,com blog a-peek-into-machine-learning-at-square  34 https:  fintechnews.hk 12261 fintechchina how-wechat-pay-determines-if-you-are-trustworthy-with-their-credit-score 35 https:  ash.,16,5,0.624,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895931,1646
19.0,number,ai_implementation_count,financial_services,"A separate study suggests that US enterprises  AI adoption has accelerated recently, in part as a response to the coronavirus (COVID-19) pandemic.1",52,10,0.62,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834448,4786
2.0,count,ai_implementation_count,financial_services,Government regulations2 and other public sector- specific requirements tend to be important in public organizations and their considera  tion may hinder the adoption of new,7,0,0.6133333333333333,2024,pattern_matching,['Missing required context keywords'],Government,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703132,6251
2020.0,count,ai_implementation_count,financial_services,"ublic organizations frequently struggle with radical organizational and cultural changes underscores their importance (Mergel, Ganapati, and Whitford 2020).",7,0,0.6133333333333333,2024,pattern_matching,['Missing required context keywords'],Mergel,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703131,6250
0.0,number,ai_implementation_count,financial_services,com static 5ef0b24bc96ec4739e7275d3 t 5fb58df18fbd7f2b94b5b5cd 1605733874729 SRI 1 - Initiatives in AI Governance.pdf 147 https:  www.nitrd.gov nitrdgroups images c,37,5,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Initiatives,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896273,2095
24.0,number,ai_implementation_count,financial_services,com static 5ef0b24bc96ec4739e7275d3 t 5fb58df18fbd7f2b94b5b5cd 1605733874729 SRI 1 - Initiatives in AI Governance.pdf 147 https:  www.nitrd.gov nitrdgroups images c c1,37,5,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Initiatives,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896274,2096
96.0,number,ai_implementation_count,financial_services,com static 5ef0b24bc96ec4739e7275d3 t 5fb58df18fbd7f2b94b5b5cd 1605733874729 SRI 1 - Initiatives in AI Governance.pdf 147 https:  www.nitrd.gov nitrdgroups images c c1 Amer,37,5,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Initiatives,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896275,2097
4739.0,number,ai_implementation_count,financial_services,com static 5ef0b24bc96ec4739e7275d3 t 5fb58df18fbd7f2b94b5b5cd 1605733874729 SRI 1 - Initiatives in AI Governance.pdf 147 https:  www.nitrd.gov nitrdgroups images c c1 American-A,37,5,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Initiatives,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896276,2098
7275.0,number,ai_implementation_count,financial_services,com static 5ef0b24bc96ec4739e7275d3 t 5fb58df18fbd7f2b94b5b5cd 1605733874729 SRI 1 - Initiatives in AI Governance.pdf 147 https:  www.nitrd.gov nitrdgroups images c c1 American-AI-Ini,37,5,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Initiatives,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896276,2099
58.0,number,ai_implementation_count,financial_services,com static 5ef0b24bc96ec4739e7275d3 t 5fb58df18fbd7f2b94b5b5cd 1605733874729 SRI 1 - Initiatives in AI Governance.pdf 147 https:  www.nitrd.gov nitrdgroups images c c1 American-AI-Initiative-On,37,5,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Initiatives,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896277,2100
