id,source_id,metric_type,value,unit,year,sector,region,technology,context,confidence,page_number,created_at,updated_at,issue_type,issue_details
10662,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:08:49.546505,2025-07-20 00:08:49.546505,duplicate,Appears 6 times
10663,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:08:49.546506,2025-07-20 00:08:49.546507,duplicate,Appears 6 times
10664,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:08:49.546507,2025-07-20 00:08:49.546508,duplicate,Appears 6 times
11080,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:08:49.547057,2025-07-20 00:08:49.547058,duplicate,Appears 6 times
276,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:07:18.595305,2025-07-20 00:07:18.595305,duplicate,Appears 6 times
277,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:07:18.595306,2025-07-20 00:07:18.595307,duplicate,Appears 6 times
278,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:07:18.595308,2025-07-20 00:07:18.595309,duplicate,Appears 6 times
694,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:07:18.596018,2025-07-20 00:07:18.596018,duplicate,Appears 6 times
2652,17,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:07:18.875417,2025-07-20 00:07:18.875418,duplicate,Appears 6 times
2653,17,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:07:18.875418,2025-07-20 00:07:18.875419,duplicate,Appears 6 times
2654,17,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:07:18.875420,2025-07-20 00:07:18.875420,duplicate,Appears 6 times
3070,17,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:07:18.875965,2025-07-20 00:07:18.875966,duplicate,Appears 6 times
4533,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:07:19.123415,2025-07-20 00:07:19.123416,duplicate,Appears 6 times
4534,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:07:19.123417,2025-07-20 00:07:19.123417,duplicate,Appears 6 times
4535,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:07:19.123418,2025-07-20 00:07:19.123419,duplicate,Appears 6 times
4951,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:07:19.123989,2025-07-20 00:07:19.123990,duplicate,Appears 6 times
6405,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:08:49.124052,2025-07-20 00:08:49.124053,duplicate,Appears 6 times
6406,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:08:49.124054,2025-07-20 00:08:49.124055,duplicate,Appears 6 times
6407,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:08:49.124056,2025-07-20 00:08:49.124057,duplicate,Appears 6 times
6823,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:08:49.124775,2025-07-20 00:08:49.124776,duplicate,Appears 6 times
8781,17,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:08:49.391941,2025-07-20 00:08:49.391942,duplicate,Appears 6 times
8782,17,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:08:49.391943,2025-07-20 00:08:49.391944,duplicate,Appears 6 times
8783,17,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:08:49.391945,2025-07-20 00:08:49.391945,duplicate,Appears 6 times
9199,17,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:08:49.392663,2025-07-20 00:08:49.392664,duplicate,Appears 6 times
10662,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:08:49.546505,2025-07-20 00:08:49.546505,duplicate,Appears 6 times
10663,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:08:49.546506,2025-07-20 00:08:49.546507,duplicate,Appears 6 times
10664,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:08:49.546507,2025-07-20 00:08:49.546508,duplicate,Appears 6 times
11080,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:08:49.547057,2025-07-20 00:08:49.547058,duplicate,Appears 6 times
276,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:07:18.595305,2025-07-20 00:07:18.595305,duplicate,Appears 6 times
277,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:07:18.595306,2025-07-20 00:07:18.595307,duplicate,Appears 6 times
278,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:07:18.595308,2025-07-20 00:07:18.595309,duplicate,Appears 6 times
694,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:07:18.596018,2025-07-20 00:07:18.596018,duplicate,Appears 6 times
2652,17,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:07:18.875417,2025-07-20 00:07:18.875418,duplicate,Appears 6 times
2653,17,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:07:18.875418,2025-07-20 00:07:18.875419,duplicate,Appears 6 times
2654,17,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:07:18.875420,2025-07-20 00:07:18.875420,duplicate,Appears 6 times
3070,17,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:07:18.875965,2025-07-20 00:07:18.875966,duplicate,Appears 6 times
4533,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:07:19.123415,2025-07-20 00:07:19.123416,duplicate,Appears 6 times
4534,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:07:19.123417,2025-07-20 00:07:19.123417,duplicate,Appears 6 times
4535,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:07:19.123418,2025-07-20 00:07:19.123419,duplicate,Appears 6 times
4951,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:07:19.123989,2025-07-20 00:07:19.123990,duplicate,Appears 6 times
6405,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:08:49.124052,2025-07-20 00:08:49.124053,duplicate,Appears 6 times
6406,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:08:49.124054,2025-07-20 00:08:49.124055,duplicate,Appears 6 times
6407,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:08:49.124056,2025-07-20 00:08:49.124057,duplicate,Appears 6 times
6823,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:08:49.124775,2025-07-20 00:08:49.124776,duplicate,Appears 6 times
8781,17,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:08:49.391941,2025-07-20 00:08:49.391942,duplicate,Appears 6 times
8782,17,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:08:49.391943,2025-07-20 00:08:49.391944,duplicate,Appears 6 times
8783,17,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:08:49.391945,2025-07-20 00:08:49.391945,duplicate,Appears 6 times
9199,17,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:08:49.392663,2025-07-20 00:08:49.392664,duplicate,Appears 6 times
10662,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:08:49.546505,2025-07-20 00:08:49.546505,duplicate,Appears 6 times
10663,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:08:49.546506,2025-07-20 00:08:49.546507,duplicate,Appears 6 times
10664,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:08:49.546507,2025-07-20 00:08:49.546508,duplicate,Appears 6 times
11080,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:08:49.547057,2025-07-20 00:08:49.547058,duplicate,Appears 6 times
23,1,growth_metric,12.0,percentage,2024,,,,signed to mimic the day-to-day work at a consulting company increased by 12%–25%. evidence from these experiments generally suggests sig,0.7,,2025-07-20 00:07:18.512123,2025-07-20 00:07:18.512123,duplicate,Appears 6 times
1168,1,growth_metric,12.0,percentage,2024,,,,signed to mimic the day-to-day work at a consulting company increased by 12%–25%. evidence from these experiments generally suggests sig,0.7,,2025-07-20 00:07:18.718069,2025-07-20 00:07:18.718070,duplicate,Appears 6 times
1841,17,growth_metric,12.0,percentage,2024,,,,signed to mimic the day-to-day work at a consulting company increased by 12%–25%. evidence from these experiments generally suggests sig,0.7,,2025-07-20 00:07:18.874335,2025-07-20 00:07:18.874336,duplicate,Appears 6 times
6152,1,growth_metric,12.0,percentage,2024,,,,signed to mimic the day-to-day work at a consulting company increased by 12%–25%. evidence from these experiments generally suggests sig,0.7,,2025-07-20 00:08:49.011569,2025-07-20 00:08:49.011570,duplicate,Appears 6 times
7297,1,growth_metric,12.0,percentage,2024,,,,signed to mimic the day-to-day work at a consulting company increased by 12%–25%. evidence from these experiments generally suggests sig,0.7,,2025-07-20 00:08:49.249166,2025-07-20 00:08:49.249166,duplicate,Appears 6 times
7970,17,growth_metric,12.0,percentage,2024,,,,signed to mimic the day-to-day work at a consulting company increased by 12%–25%. evidence from these experiments generally suggests sig,0.7,,2025-07-20 00:08:49.390490,2025-07-20 00:08:49.390491,duplicate,Appears 6 times
132,4,growth_metric,16.0,percentage,2024,,,,"rew 30% faster than overall talent, while supply typically grew by 16% across major economies. as the demand for ai talent grows,",0.7,,2025-07-20 00:07:18.542536,2025-07-20 00:07:18.542536,duplicate,Appears 6 times
1496,4,growth_metric,16.0,percentage,2024,,,,"rew 30% faster than overall talent, while supply typically grew by 16% across major economies. as the demand for ai talent grows,",0.7,,2025-07-20 00:07:18.756623,2025-07-20 00:07:18.756623,duplicate,Appears 6 times
2169,17,growth_metric,16.0,percentage,2024,,,,"rew 30% faster than overall talent, while supply typically grew by 16% across major economies. as the demand for ai talent grows,",0.7,,2025-07-20 00:07:18.874775,2025-07-20 00:07:18.874775,duplicate,Appears 6 times
6261,4,growth_metric,16.0,percentage,2024,,,,"rew 30% faster than overall talent, while supply typically grew by 16% across major economies. as the demand for ai talent grows,",0.7,,2025-07-20 00:08:49.065016,2025-07-20 00:08:49.065017,duplicate,Appears 6 times
7625,4,growth_metric,16.0,percentage,2024,,,,"rew 30% faster than overall talent, while supply typically grew by 16% across major economies. as the demand for ai talent grows,",0.7,,2025-07-20 00:08:49.291437,2025-07-20 00:08:49.291437,duplicate,Appears 6 times
8298,17,growth_metric,16.0,percentage,2024,,,,"rew 30% faster than overall talent, while supply typically grew by 16% across major economies. as the demand for ai talent grows,",0.7,,2025-07-20 00:08:49.391078,2025-07-20 00:08:49.391079,duplicate,Appears 6 times
134,4,growth_metric,20.0,percentage,2018,,,,"oritize these skills, the significance of people skills has increased by 20% since 2018. as they look to adopt gai technology, companie",0.7,,2025-07-20 00:07:18.542538,2025-07-20 00:07:18.542539,duplicate,Appears 6 times
1498,4,growth_metric,20.0,percentage,2018,,,,"oritize these skills, the significance of people skills has increased by 20% since 2018. as they look to adopt gai technology, companie",0.7,,2025-07-20 00:07:18.756626,2025-07-20 00:07:18.756626,duplicate,Appears 6 times
2171,17,growth_metric,20.0,percentage,2018,,,,"oritize these skills, the significance of people skills has increased by 20% since 2018. as they look to adopt gai technology, companie",0.7,,2025-07-20 00:07:18.874777,2025-07-20 00:07:18.874778,duplicate,Appears 6 times
6263,4,growth_metric,20.0,percentage,2018,,,,"oritize these skills, the significance of people skills has increased by 20% since 2018. as they look to adopt gai technology, companie",0.7,,2025-07-20 00:08:49.065020,2025-07-20 00:08:49.065021,duplicate,Appears 6 times
7627,4,growth_metric,20.0,percentage,2018,,,,"oritize these skills, the significance of people skills has increased by 20% since 2018. as they look to adopt gai technology, companie",0.7,,2025-07-20 00:08:49.291439,2025-07-20 00:08:49.291446,duplicate,Appears 6 times
8300,17,growth_metric,20.0,percentage,2018,,,,"oritize these skills, the significance of people skills has increased by 20% since 2018. as they look to adopt gai technology, companie",0.7,,2025-07-20 00:08:49.391082,2025-07-20 00:08:49.391082,duplicate,Appears 6 times
65,2,unknown_metric,1956.0,number,2024,,,,"industry 3 executive summary ai has come a long way since 1956, when john mccarthy first coined the term at a conference",0.7,,2025-07-20 00:07:18.526751,2025-07-20 00:07:18.526751,duplicate,Appears 6 times
1311,2,unknown_metric,1956.0,number,2024,,,,"industry 3 executive summary ai has come a long way since 1956, when john mccarthy first coined the term at a conference",0.7,,2025-07-20 00:07:18.731694,2025-07-20 00:07:18.731694,duplicate,Appears 6 times
1984,17,unknown_metric,1956.0,number,2024,,,,"industry 3 executive summary ai has come a long way since 1956, when john mccarthy first coined the term at a conference",0.7,,2025-07-20 00:07:18.874526,2025-07-20 00:07:18.874526,duplicate,Appears 6 times
6194,2,unknown_metric,1956.0,number,2024,,,,"industry 3 executive summary ai has come a long way since 1956, when john mccarthy first coined the term at a conference",0.7,,2025-07-20 00:08:49.037317,2025-07-20 00:08:49.037318,duplicate,Appears 6 times
7440,2,unknown_metric,1956.0,number,2024,,,,"industry 3 executive summary ai has come a long way since 1956, when john mccarthy first coined the term at a conference",0.7,,2025-07-20 00:08:49.264958,2025-07-20 00:08:49.264959,duplicate,Appears 6 times
8113,17,unknown_metric,1956.0,number,2024,,,,"industry 3 executive summary ai has come a long way since 1956, when john mccarthy first coined the term at a conference",0.7,,2025-07-20 00:08:49.390749,2025-07-20 00:08:49.390750,duplicate,Appears 6 times
773,7,unknown_metric,2014.0,energy_unit,2014,,,,"tps://data.europa.eu/doi/10.2759/759368. [18] knight, w. (2014), “how human-robot teamwork will upend manufacturing”, mit",0.7,,2025-07-20 00:07:18.596151,2025-07-20 00:07:18.596152,duplicate,Appears 6 times
3149,17,unknown_metric,2014.0,energy_unit,2014,,,,"tps://data.europa.eu/doi/10.2759/759368. [18] knight, w. (2014), “how human-robot teamwork will upend manufacturing”, mit",0.7,,2025-07-20 00:07:18.876067,2025-07-20 00:07:18.876068,duplicate,Appears 6 times
5030,7,unknown_metric,2014.0,energy_unit,2014,,,,"tps://data.europa.eu/doi/10.2759/759368. [18] knight, w. (2014), “how human-robot teamwork will upend manufacturing”, mit",0.7,,2025-07-20 00:07:19.124096,2025-07-20 00:07:19.124097,duplicate,Appears 6 times
6902,7,unknown_metric,2014.0,energy_unit,2014,,,,"tps://data.europa.eu/doi/10.2759/759368. [18] knight, w. (2014), “how human-robot teamwork will upend manufacturing”, mit",0.7,,2025-07-20 00:08:49.124909,2025-07-20 00:08:49.124910,duplicate,Appears 6 times
